iter	RMSE
0	111.4528057
1	110.0573795
2	108.6146203
3	107.0161393
4	105.4485539
5	103.98589
6	102.5361002
7	101.1310449
8	99.73161191
9	98.3908238
10	97.00083539
11	95.75481692
12	94.404321
13	93.2029638
14	92.04710061
15	90.93843047
16	89.62167241
17	88.51734363
18	87.4802532
19	86.38962293
20	85.31586423
21	84.22720214
22	83.21215267
23	82.34843245
24	81.21799037
25	80.23484574
26	79.31057256
27	78.38919706
28	77.42532606
29	76.4536863
30	75.56171641
31	74.72498874
32	73.86152324
33	72.86745879
34	72.09592427
35	71.18465646
36	70.38549683
37	69.57946092
38	68.73781499
39	67.9378718
40	67.19671878
41	66.34212868
42	65.69118371
43	64.90596621
44	64.28498852
45	63.6073531
46	62.9193728
47	62.41507888
48	61.77834694
49	61.15783465
50	60.53407721
51	59.93023389
52	59.3742015
53	58.76825816
54	58.18837483
55	57.65355252
56	57.02158024
57	56.37762887
58	55.79573958
59	55.28036861
60	54.81517515
61	54.36710354
62	53.85346333
63	53.36731784
64	52.93137325
65	52.43300969
66	52.00782627
67	51.53701711
68	51.06592656
69	50.7237151
70	50.28497151
71	49.86904277
72	49.49300321
73	49.1089181
74	48.66091317
75	48.2969809
76	47.90695867
77	47.51309928
78	47.13398212
79	46.69252698
80	46.28678586
81	46.0012929
82	45.67363315
83	45.38649546
84	45.05956702
85	44.79089056
86	44.48062546
87	44.1816576
88	43.90835373
89	43.57953123
90	43.24188004
91	42.91423726
92	42.62096161
93	42.32078673
94	42.04768216
95	41.81836715
96	41.5194835
97	41.22572649
98	40.93931617
99	40.64317643
100	40.40405068
101	40.15675841
102	39.89397656
103	39.70466474
104	39.47719703
105	39.23862787
106	39.06670819
107	38.83391461
108	38.62007328
109	38.47399997
110	38.31889307
111	38.1255129
112	37.9253996
113	37.71177147
114	37.52920829
115	37.34516135
116	37.16274067
117	36.9996399
118	36.81559778
119	36.63235521
120	36.49781053
121	36.33525435
122	36.17602623
123	36.0310694
124	35.85971735
125	35.73630839
126	35.57276504
127	35.44084601
128	35.27721763
129	35.12070702
130	34.98598411
131	34.85638217
132	34.72397252
133	34.62089497
134	34.49340428
135	34.39267653
136	34.25062129
137	34.13008823
138	33.98198755
139	33.90700769
140	33.77318292
141	33.66194
142	33.55430203
143	33.45596829
144	33.33386923
145	33.21642518
146	33.07080452
147	32.92303941
148	32.77825647
149	32.67132349
150	32.54302798
151	32.43980344
152	32.35227321
153	32.23720114
154	32.17205662
155	32.11229891
156	32.02583272
157	31.94698034
158	31.87527445
159	31.79497893
160	31.73007806
161	31.64717613
162	31.55421768
163	31.44836637
164	31.3626694
165	31.27890599
166	31.1763534
167	31.08815206
168	31.02117675
169	30.94973309
170	30.87125279
171	30.79879378
172	30.72950816
173	30.66237221
174	30.60653857
175	30.54035764
176	30.44022328
177	30.37554133
178	30.28694891
179	30.19516793
180	30.13247415
181	30.05995707
182	29.98273212
183	29.91219181
184	29.86431997
185	29.80801731
186	29.75495394
187	29.69344117
188	29.59530619
189	29.5467398
190	29.48915485
191	29.3955194
192	29.34129497
193	29.27221704
194	29.22255702
195	29.16726235
196	29.11523487
197	29.03122993
198	28.97611128
199	28.91327051
200	28.85536295
201	28.81312841
202	28.77445058
203	28.69130911
204	28.60362315
205	28.55208023
206	28.50691735
207	28.45024687
208	28.39086936
209	28.29127195
210	28.21776421
211	28.1592188
212	28.10829501
213	28.055836
214	28.01536913
215	27.96204945
216	27.91281606
217	27.87118809
218	27.80455237
219	27.74918377
220	27.6647801
221	27.60679137
222	27.55356208
223	27.46799942
224	27.43405868
225	27.35607772
226	27.31134284
227	27.26307581
228	27.21418075
229	27.17659024
230	27.12855348
231	27.08326321
232	27.03959141
233	26.97641549
234	26.93232793
235	26.89660767
236	26.85921706
237	26.82367287
238	26.77090752
239	26.7426834
240	26.69781374
241	26.62832671
242	26.58799946
243	26.56225612
244	26.51465206
245	26.47372181
246	26.39691931
247	26.35054461
248	26.30395389
249	26.25201747
250	26.20084714
251	26.16726852
252	26.13325748
253	26.09981881
254	26.0676663
255	26.00985222
256	25.95369177
257	25.91576178
258	25.86477309
259	25.80837851
260	25.77247752
261	25.70807421
262	25.67315718
263	25.61577919
264	25.55915463
265	25.52157722
266	25.47873728
267	25.44591639
268	25.42125553
269	25.4085758
270	25.35927173
271	25.33079643
272	25.30102158
273	25.26631032
274	25.24564156
275	25.22099603
276	25.17992447
277	25.15409117
278	25.12241863
279	25.08252327
280	25.04870628
281	25.02391086
282	24.98311216
283	24.94980044
284	24.90627816
285	24.87920953
286	24.85218251
287	24.8252461
288	24.78733635
289	24.74997023
290	24.71314018
291	24.68753292
292	24.65638174
293	24.61311855
294	24.57791604
295	24.55784966
296	24.53349498
297	24.50620779
298	24.48098369
299	24.45708742
300	24.42325203
301	24.39432691
302	24.36707263
303	24.3484788
304	24.315652
305	24.28330054
306	24.25934735
307	24.23212888
308	24.2005049
309	24.13557977
310	24.10447704
311	24.08124005
312	24.05064624
313	24.02049676
314	23.99769113
315	23.97165476
316	23.95621405
317	23.93420848
318	23.90477305
319	23.87576591
320	23.8471809
321	23.82563731
322	23.80439015
323	23.74884235
324	23.73430538
325	23.71354204
326	23.6569256
327	23.63651254
328	23.60864394
329	23.58118208
330	23.56114818
331	23.50159796
332	23.47460458
333	23.44800501
334	23.38853417
335	23.37374924
336	23.34763382
337	23.32189976
338	23.29654153
339	23.27155368
340	23.25714158
341	23.19814919
342	23.17362385
343	23.14945704
344	23.13043266
345	23.06997498
346	23.04619407
347	23.02276104
348	23.00982032
349	22.95043489
350	22.93200495
351	22.90900186
352	22.89086922
353	22.87847556
354	22.82905796
355	22.77474865
356	22.75219451
357	22.73449939
358	22.6810588
359	22.6682669
360	22.65097216
361	22.6037421
362	22.58164795
363	22.56464842
364	22.51272587
365	22.46799532
366	22.45124324
367	22.4347284
368	22.41844742
369	22.3650717
370	22.31543407
371	22.29942583
372	22.28364465
373	22.24337218
